,index,home_team_total_fifa_points,home_team_fifa_rank,away_team_total_fifa_points,away_team_fifa_rank
844,21357,1219,101,1148,122
845,17051,413,73,428,72
846,18376,227,143,192,151
847,21245,1384,58,1336,71
848,23619,1642,14,1163,109
849,14859,1566,1,615,46
850,15095,331,104,507,65
851,17088,373,86,295,107
852,20671,1202,108,928,183
853,14280,193,136,74,179
854,23902,1218,95,1159,114
855,20770,1409,50,1479,29
856,23868,1463,41,1584,19
857,19670,458,74,600,59
858,21256,1273,88,1210,103
859,19447,107,174,105,175
860,20939,1414,50,1251,95
861,19812,10,204,471,73
862,16526,1079,10,1310,2
863,17210,25,193,13,199
864,17581,1414,5,1130,11
865,16250,316,107,581,57
866,23205,1513,29,1139,123
867,21425,1467,37,1255,94
868,20232,693,42,451,72
869,14469,229,128,518,62
870,20231,675,46,729,38
871,17872,280,112,237,126
872,21211,1348,70,1089,136
873,18129,465,73,352,97
874,20513,1597,8,1471,32
875,20364,239,126,708,37
876,16990,334,97,280,111
877,16951,343,93,276,109
878,19069,385,91,593,53
879,20888,1240,97,1295,82
880,16383,405,88,612,49
881,18249,1179,9,881,24
882,18338,159,157,41,196
883,14599,713,35,540,60
884,18966,325,105,411,83
885,23187,1146,119,1234,94
886,23481,870,196,1057,146
887,18539,268,133,5,202
888,18772,1503,1,1293,5
889,21590,1249,95,1162,120
890,21965,1304,81,1351,67
891,16467,266,123,267,121
892,15348,400,88,623,42
893,22856,1487,32,1147,121
894,17969,159,155,716,40
895,23601,1221,97,1173,107
896,17046,1240,7,406,76
897,20305,646,45,699,40
898,16476,365,97,120,162
899,16934,1242,3,981,15
900,22619,1600,15,1641,8
901,16086,224,135,737,35
902,17863,159,156,56,184
903,14787,376,95,141,154
904,19618,232,132,369,92
905,20642,1350,67,1089,140
906,22640,1509,28,1512,25
907,17525,552,63,556,61
908,14739,146,151,514,63
909,20900,1295,82,1160,118
910,18872,470,76,1155,10
911,18806,630,44,88,182
912,19999,100,173,251,125
913,21682,1532,22,1339,69
914,20823,1420,48,1483,28
915,17692,188,135,218,125
916,16356,1483,1,870,21
917,14600,1100,7,1624,1
